"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:27 CST 2021","154","testcase","test_login","","","","test_login[args0]","登录接口，获取token"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:27 CST 2021","36","testcase","test_correct","","","","test_user_experience[args1]","批改数据能力模块相关接口"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:27 CST 2021","41","testcase","test_correct","","","","test_user_experience[args2]","批改数据能力模块相关接口"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:27 CST 2021","42","testcase","test_login","","","","test_login[args1]","登录接口，获取token"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:27 CST 2021","35","testcase","test_user_experience","","","","test_user_experience[args1]","用户体验"
"passed","Thu Sep 09 16:29:28 CST 2021","Thu Sep 09 16:29:28 CST 2021","44","testcase","test_user_experience","","","","test_user_experience[args6]","用户体验"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:27 CST 2021","20","testcase","test_login","","","","test_login[args3]","登录接口，获取token"
"passed","Thu Sep 09 16:29:28 CST 2021","Thu Sep 09 16:29:28 CST 2021","21","testcase","test_user_experience","","","","test_user_experience[args7]","用户体验"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:27 CST 2021","54","testcase","test_user_experience","","","","test_user_experience[args0]","用户体验"
"passed","Thu Sep 09 16:29:28 CST 2021","Thu Sep 09 16:29:28 CST 2021","22","testcase","test_user_experience","","","","test_user_experience[args8]","用户体验"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:27 CST 2021","35","testcase","test_user_experience","","","","test_user_experience[args2]","用户体验"
"passed","Thu Sep 09 16:29:28 CST 2021","Thu Sep 09 16:29:28 CST 2021","32","testcase","test_user_experience","","","","test_user_experience[args9]","用户体验"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:27 CST 2021","19","testcase","test_login","","","","test_login[args2]","登录接口，获取token"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:27 CST 2021","35","testcase","test_login","","","","test_login[args4]","登录接口，获取token"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:27 CST 2021","91","testcase","test_correct","","","","test_user_experience[args0]","批改数据能力模块相关接口"
"passed","Thu Sep 09 16:29:28 CST 2021","Thu Sep 09 16:29:28 CST 2021","97","testcase","test_user_experience","","","","test_user_experience[args5]","用户体验"
"passed","Thu Sep 09 16:29:28 CST 2021","Thu Sep 09 16:29:28 CST 2021","19","testcase","test_user_experience","","","","test_user_experience[args4]","用户体验"
"passed","Thu Sep 09 16:29:27 CST 2021","Thu Sep 09 16:29:28 CST 2021","35","testcase","test_user_experience","","","","test_user_experience[args3]","用户体验"
